GeneticID	MasterID	SkeletonCode	SkeletonElement	DateMeanInBP	Period	GroupID	Country	Locality	Latitude	Longitude	MolecularSex	PCA1	PCA2	DateStandarDeviation	FullDateFormated	AgeOfDeath	DatingMethod	PoliticalEntity	YearPublication	Publication
I11033	I11033	Sk89 (5.37.12, <16493>)	petrous	2421	IA	England_EastYorkshire_EIA	England	England, East Riding of Yorkshire, Pocklington (Burnby Lane)	53.919396	-0.766635	F	-0.0307	-0.0013	69	717-395 calBCE (2385±29 BP, SUERC-78046)	..	Direct: IntCal20	United Kingdom	2021	PattersonNature2021
I13758	I13758	Sk116 (5.37.12)	petrous	2175	IA	England_EastYorkshire_MIA_LIA_brother.I21558	England	England, East Riding of Yorkshire, Pocklington (Burnby Lane)	53.919396	-0.766635	M	-0.0295	-0.0037	101	400-50 BCE	..	Context: Archaeological - Period	United Kingdom	2021	PattersonNature2021
I14107	I14107	Sk66 (5.37.12, <16278>)	petrous	2175	IA	England_EastYorkshire_MIA_LIA_son.I21698	England	England, East Riding of Yorkshire, Pocklington (Burnby Lane)	53.919396	-0.766635	M	-0.0303	0.0026	101	400-50 BCE	..	Context: Archaeological - Period	United Kingdom	2021	PattersonNature2021
I0525	I0525	OSA04:1032	bone	1975	IA	England_EastYorkshire_LIA	England	England, East Riding of Yorkshire, East Riding, North Ferriby, Melton Quarry	53.725076	-0.523009	F	-0.0291	0.0035	43	100 BCE - 50 CE	..	Context: Archaeological - Period	United Kingdom	2021	PattersonNature2021
I14106	I14106	Sk63 (5.37.12, <16159>)	petrous	2045	BA	England_EastYorkshire_LIA	England	England, East Riding of Yorkshire, Pocklington (Burnby Lane)	53.919396	-0.766635	F	-0.0334	-2e-4	47	176 calBCE - 6 calCE (2082±29 BP, SUERC-78041)	..	Direct: IntCal20	United Kingdom	2021	PattersonNature2021
I22057	I22057	ECP09 SK4287	petrous	1970	BA	England_EastYorkshire_LIA	England	England, East Riding of Yorkshire, Thornholme, East Coast Pipeline (field 16)	54.12647222	-0.287966667	F	-0.0305	8e-4	40	104 calBCE - 65 calCE (2031±27 BP, SUERC-52029)	..	Direct: IntCal20	United Kingdom	2021	PattersonNature2021
I22062	I22062	SKP06 SK686AA	petrous	1930	BA	England_EastYorkshire_LIA	England	England, East Riding of Yorkshire, Thornholme, Town Pasture	54.05587222	-0.307591667	M	-0.0311	-0.0049	44	50 calBCE - 116 calCE (1997±31 BP, SUERC-52038)	..	Direct: IntCal20	United Kingdom	2021	PattersonNature2021
I22064	I22064	ECP09 SK4295	petrous	1971	BA	England_EastYorkshire_LIA	England	England, East Riding of Yorkshire, Thornholme, East Coast Pipeline (field 16)	54.12647222	-0.287966667	F	-0.0317	-0.0018	41	105 calBCE - 64 calCE (2032±27 BP, SUERC-52030)	..	Direct: IntCal20	United Kingdom	2021	PattersonNature2021
I5502	I5502	Nunburnholme 14 (barrow D)	petrous	2054	BA	England_EastYorkshire_LIA	England	England, East Riding of Yorkshire, Nunburnholme Wold	53.916717	-0.666972	M	-0.0309	-5e-4	50	196-4 calBCE (2090±30 BP, Beta-520210)	..	Direct: IntCal20	United Kingdom	2021	PattersonNature2021
I12412	I12412	Sk2 (5.37.12, <15171>)	petrous	2238	BA	England_EastYorkshire_MIA	England	England, East Riding of Yorkshire, Pocklington (Burnby Lane)	53.919396	-0.766635	F	-0.0317	-0.003	56	387-205 calBCE (2242±25 BP, SUERC-83069)	..	Direct: IntCal20	United Kingdom	2021	PattersonNature2021
