GeneticID	PCA1	PCA2	Group	Period
I16413	-0.0286	0.0025	England.and.Wales_IA	-
I16418	-0.0299	0.0053	England.and.Wales_IA	-
I16495	-0.0299	0.0025	England.and.Wales_IA	-
I16499	-0.0348	0.0034	England.and.Wales_IA	-
GEO-002.HO	0.0335	0.0171	Georgian	Modern
GEO-005.HO	0.0251	0.0168	Georgian	Modern
GEO-010.HO	0.0312	0.013	Georgian	Modern
GEO-015.HO	0.0288	0.0214	Georgian	Modern
GEO-020.HO	0.0304	0.0139	Georgian	Modern
GEO-028.HO	0.0271	0.0251	Georgian	Modern
GEO-031.HO	0.0297	0.0198	Georgian	Modern
GEO-032.HO	0.0307	0.0174	Georgian	Modern
GEO-039.HO	0.029	0.0285	Georgian	Modern
GEO-051.HO	0.03	0.0221	Georgian	Modern
GEO-061.HO	0.0308	0.0278	Georgian	Modern
GEO-082.HO	0.0304	0.0302	Georgian	Modern
GEO001.HO	0.0323	0.0199	Georgian	Modern
MOE-001.HO	-0.0299	0.0341	Mordovian	Modern
MOE-002.HO	-0.0327	0.0383	Mordovian	Modern
MOE-010.HO	-0.0289	0.0377	Mordovian	Modern
MOE-014.HO	-0.0252	0.0335	Mordovian	Modern
MOE-015.HO	-0.0304	0.0337	Mordovian	Modern
MOE-020.HO	-0.0282	0.0301	Mordovian	Modern
MOE-025.HO	-0.0282	0.0366	Mordovian	Modern
MOE-036.HO	-0.0303	0.038	Mordovian	Modern
MOE-043.HO	-0.03	0.0366	Mordovian	Modern
MOE-045.HO	-0.0317	0.0418	Mordovian	Modern
MOE-433.HO	-0.0307	0.0275	Mordovian	Modern
MOE-445.HO	-0.0302	0.0393	Mordovian	Modern
MOE-450.HO	-0.0303	0.032	Mordovian	Modern
MOE-451.HO	-0.0329	0.033	Mordovian	Modern
MOE-452.HO	-0.029	0.0319	Mordovian	Modern
MOE-455.HO	-0.0326	0.0363	Mordovian	Modern
MOE-475.HO	-0.033	0.033	Mordovian	Modern
MOE-485.HO	-0.0328	0.0336	Mordovian	Modern
MOE-491.HO	-0.0295	0.0352	Mordovian	Modern
MOE-492.HO	-0.0323	0.0386	Mordovian	Modern
MOE-495.HO	-0.0312	0.0295	Mordovian	Modern
MOE-497.HO	-0.0304	0.0335	Mordovian	Modern
UKR-1283.HO	-0.0278	0.0141	Ukrainian	Modern
UKR-1291.HO	-0.0304	0.0145	Ukrainian	Modern
UKR-1292.HO	-0.0317	0.0204	Ukrainian	Modern
UKR-1377.HO	-0.03	0.0179	Ukrainian	Modern
HGDP00511.HO	-0.0224	-0.0064	French	Modern
HGDP00512.HO	-0.0183	-0.0111	French	Modern
HGDP00513.HO	-0.0196	-0.013	French	Modern
