Genetic ID	Master ID
I16437.AG	I16437
I16427.AG	I16427
I16444.AG	I16444
I16436_d.AG	I16436
I16435_d.AG	I16435
I16434_d.AG	I16434
I16429.AG	I16429
I16425.AG	I16425
I16438.AG	I16438
I26628.AG	I26628
I26630.AG	I26630
I16430.AG	I16430
I16433.AG	I16433
I16505.AG	I16505
I26629.AG	I26629
I16431_d.AG	I16431
I16443.AG	I16443
I35048.TW	I35048
I35049.TW	I35049
I35050.TW	I35050
I35051.TW	I35051
I35052.TW	I35052
S35053_Blob.13_SQ.TW	I35053
I35053.TW	I35053
I35054.TW	I35054
I35055.TW	I35055
I35056.TW	I35056
I35201.TW	I35201
I35202.TW	I35202
I35203.TW	I35203
I35204.TW	I35204
I35205.TW	I35205
I35206.TW	I35206
I35207.TW	I35207
I35208.TW	I35208
I35209.TW	I35209
I35210.TW	I35210
I35293.TW	I35293
I35295.TW	I35295
I35296.TW	I35296
I35297.TW	I35297
I35298.TW	I35298
I35300.TW	I35300
I35301.TW	I35301
I35508.TW	I35508
I35510.TW	I35510
I35511.TW	I35511
I35512.TW	I35512
I13620.AG	I13620
I13621.AG	I13621
I13623.AG	I13623
I13720.AG	I13720
I19916.AG	I19916
I19917.AG	I19917
I19918.AG	I19918
I28691.TW	I28691
I28692.TW	I28692
I28695.TW	I28695
I28696.TW	I28696
I28699.TW	I28699
I28700.TW	I28700
I28702.TW	I28702
I28705.TW	I28705
I28710.TW	I28710
I28713.TW	I28713
I28717.TW	I28717
I28720.TW	I28720
I28721.TW	I28721
I28722.TW	I28722
I28734.TW	I28734
I28755.TW	I28755
I28758.TW	I28758
S42808_Rabble.11_SQ.TW	I42808
I33053.TW	I33053
I2657.AG	I2657
I2658.AG	I2658
I16463.AG	I16463
I2633.TW	I2633
I2633.AG.TW	I2633
I2633.AG	I2633
I2659.SG	I2659
I2659.AG	I2659
I2691.SG	I2691
I2691.AG	I2691
I2796_enhanced.AG	I2796
I2796.AG	I2796
I2634_enhanced.AG.TW	I2634
I2634_enhanced.TW	I2634
I2634.AG	I2634
I2634_enhanced.AG	I2634
I39737.TW	I39737
I2635.v58.0.TW.AG	I2635
I2635.AG	I2635
I2635.TW	I2635
I2650.AG.TW	I2650
I2650.TW	I2650
I35759.TW	I2988
I2988.SG	I2988
I2988.v58.0.TW.AG	I2988
I2988.AG	I2988
S42646_Shoal.7_SQ.TW	I42646
I2636.AG.TW	I2636
I2636.TW	I2636
I2636.SG	I2636
I2636.AG	I2636
I2660.SG	I2660
I2660.AG	I2660
I2637.TW	I2637
I2637.AG.TW	I2637
I2637.SG	I2637
I2637.AG	I2637
I2650.SG	I2650
I2650.AG	I2650
S39734_Rabble.2_SQ_d.TW	I39734
I2980.SG	I2980
I2980.DG	I2980
I2980.AG	I2980
I2561.TW	I2651
I2651.AG.TW	I2651
I2651.AG	I2651
I3085.AG	I3085
I2978.SG	I2978
I2978.DG	I2978
I2978.AG	I2978
I2934.SG	I2934
I2934.AG	I2934
I19286.AG	I19286
I2935.SG	I2935
I2935.DG	I2935
I2935_enhanced.AG.TW	I2935
I2935_enhanced.AG	I2935
I2935_enhanced.TW	I2935
I2935.AG	I2935
I2979.AG	I2979
I2631.AG	I2631
I16472.AG	I16472
I16474_d.AG	I16474
I2933.AG	I2933
I2977.AG	I2977
I2629_enhanced.AG	I2629
I2629.AG	I2629
I12773.AG	I12773
I12777.AG	I12777
I12780.AG	I12780
I12781.AG	I12781
I16491.AG	I16491
I2630.AG	I2630
I2932.SG	I2932
I2932.AG	I2932
I16381.TW	I16381
S42792_Rabble.11_SQ.TW	I42792
I27380.AG	I27380
I2446_enhanced.AG.TW	I2446
I2446_enhanced.AG	I2446
I2446.AG	I2446
I2446_enhanced.TW	I2446
I16448.AG	I16448
I16448_enhanced_d.AG	I16448
I12786.AG	I12786
I35375.TW	I35375
I2568.AG	I2568
I16424.AG	I16424
I2443.AG.TW	I2443
I2443.TW	I2443
I2443.SG	I2443
I2443.AG	I2443
I35384.TW	I35384
I20997.AG	I20997
I7637.AG	I7637
I2445.SG	I2445
I2445.AG.TW	I2445
I2445.TW	I2445
I2445.AG	I2445
I1767.AG	I1767
I7635.AG	I7635
I2567.AG	I2567
I12935.AG	I12935
I7638.AG	I7638
I16412_d.AG	I16412
I2569_enhanced.AG	I2569
I2569.AG	I2569
I14543.AG	I14543
I34774_v57.1.TW	I34774
I16394.AG.TW	I16394
I16394.TW	I16394
I16394.AG	I16394
I16395.AG	I16395
I16396.AG	I16396
I16406.TW	I16406
I1770.AG	I1770
I2447.AG	I2447
I2413.AG	I2413
I3132.SG	I3132
I3132.AG	I3132
I1766.AG	I1766
I16400.AG	I16400
I36954.TW	I36954
I36955.TW	I36955
I14553.AG	I14553
I7639.AG	I7639
I12776.AG	I12776
I18597.AG	I18597
I2981.SG	I2981
I2981.AG	I2981
I1774.AG	I1774
I34768.TW	I34768
I19858.AG	I19858
I16403.AG	I16403
I13714.AG	I13714
I19857.AG	I19857
I19915.AG	I19915
I33167.TW	I33167
I33048.TW	I33048
I33049.TW	I33049
I19859.AG	I19859
I33050.TW	I33050
I19860.AG	I19860
I2573.AG	I2573
I16476.AG	I16476
I16481.AG	I16481
I16487.AG	I16487
I2655.AG	I2655
I7640.AG	I7640
I2654.AG	I2654
I16616.AG	I16616
I19913.AG	I19913
I33047.TW	I33047
I13710.AG	I13710
I16479_d.AG	I16479
I2653.AG	I2653
I13716.AG	I13716
I13716_enhanced.AG	I13716
I2448.AG	I2448
I2448.AG.TW	I2448
I2448.TW	I2448
I16454.AG	I16454
I33046.TW	I33046
I13618.AG	I13618
I14545.AG	I14545
I13617.AG	I13617
I13617_enhanced.AG	I13617
I2656.AG	I2656
I16488.AG	I16488
I16615.AG	I16615
I33168.TW	I33168
I12936.AG	I12936
I16408.AG	I16408
I16459_d.AG	I16459
I16467_d.AG	I16467
I16469.AG	I16469
I12608.AG	I12608
I13711.AG	I13711
I13712.AG	I13712
I13713.AG	I13713
I12611.AG	I12611
I12612.AG	I12612
I12613.AG	I12613
I12614.AG	I12614
I34770.TW	I34770
I34771_v57.1.TW	I34771
I35376.TW	I35376
I35377.TW	I35377
I35380.TW	I35380
I35381.TW	I35381
I35382.TW	I35382
I35742_v57.1.TW	I35742
I35744_v57.1.TW	I35744
I35745_v57.1.TW	I35745
I35746_v57.1.TW	I35746
I35747_v57.1.TW	I35747
I35748_v57.1.TW	I35748
I35749_v57.1.TW	I35749
I35750.TW	I35750
I35752.TW	I35752
I35753_v57.1.TW	I35753
I35754.TW	I35754
I14742.AG.TW	I14742
I14742.TW	I14742
I14742.AG	I14742
I14377.AG	I14377
I3130.SG	I3130
I3130.AG	I3130
I2861.SG	I2861
I2861.DG	I2861
I2861_enhanced.AG.TW	I2861
I2861_enhanced.AG	I2861
I2861_enhanced.TW	I2861
I2861.AG	I2861
I14864.AG	I14864
I14744.TW	I14744
I14862.AG	I14862
I2860.SG	I2860
I2860.AG	I2860
I14865.AG	I14865
I14861.AG	I14861
I2859.SG	I2859
I2859.AG	I2859
I14358.AG	I14358
I14379.AG	I14379
I12624.AG	I12624
I14745.AG.TW	I14745
I14745.TW	I14745
I14745.AG	I14745
I14547.AG	I14547
I33169.TW	I33169
I13682.AG	I13682
I13682_enhanced.AG	I13682
I16618.AG	I16618
I12783.AG	I12783
